filename,truth_json,pred_json
Avicii - Levels 128kbps.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""N/A"", ""order_number"": ""N/A"", ""product_numbers"": ""N/A"", ""has_music"": true, ""genre_detection"": ""electronic"", ""instrument_identification"": [""synthesizer"", ""drums"", ""bass"", ""vocals""], ""tempo_classification"": ""fast"", ""mood_of_music"": ""energetic"", ""music_volume"": ""normal""}","{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""David Miller"", ""order_number"": ""4492-B"", ""product_numbers"": ""Router-X1"", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""violin"", ""piano""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_01.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Sarah Miller"", ""order_number"": ""N/A"", ""product_numbers"": ""AC-7892"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Compliment"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Lisa Wong"", ""order_number"": ""ORD-123"", ""product_numbers"": ""Service-Plus"", ""has_music"": true, ""genre_detection"": ""pop"", ""instrument_identification"": [""synthesizer"", ""drums"", ""vocals""], ""tempo_classification"": ""fast"", ""mood_of_music"": ""energetic"", ""music_volume"": ""soft""}"
call_recording_02.opus,"{""call_type"": ""Complaint"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""John Davis"", ""order_number"": ""123456"", ""product_numbers"": ""FR-4401"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Confused"", ""customer_name"": ""Michael Brown"", ""order_number"": ""ORD-4521"", ""product_numbers"": ""Router X1"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}"
call_recording_03.opus,"{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Maria Rodriguez"", ""order_number"": ""987654"", ""product_numbers"": ""LAP-2110"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Complaint"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""John Doe"", ""order_number"": ""ORD-12345"", ""product_numbers"": ""Model-X & Service-Pack-2"", ""has_music"": ""False"", ""genre_detection"": null, ""instrument_identification"": [], ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}"
call_recording_04.opus,"{""call_type"": ""Compliment"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Robert Smith"", ""order_number"": ""246801"", ""product_numbers"": ""DW-6543"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Confused"", ""customer_name"": ""David Miller"", ""order_number"": ""8859"", ""product_numbers"": ""Router X5 & Modem Z1"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""drums"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_05.opus,"{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Jessica Brown"", ""order_number"": ""N/A"", ""product_numbers"": ""OV-1357 & MW-8642"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Alex Johnson"", ""order_number"": ""ORD-12345"", ""product_numbers"": ""Router X-500"", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""piano"", ""violin""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}"
call_recording_06.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Confused"", ""customer_name"": ""David Wilson"", ""order_number"": ""N/A"", ""product_numbers"": ""SPK-9988"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Alex Rivera"", ""order_number"": ""N/A"", ""product_numbers"": ""Sony WH-1000XM5"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""bass""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}"
call_recording_07.opus,"{""call_type"": ""Complaint"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""Linda Garcia"", ""order_number"": ""654321"", ""product_numbers"": ""HD-2771"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Complaint"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Sarah Miller"", ""order_number"": ""ORD-77821"", ""product_numbers"": ""XJ-900 & HK-450"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""bass""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}"
call_recording_08.opus,"{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Michael Brown"", ""order_number"": ""345678"", ""product_numbers"": ""ROUT-5678"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Complaint"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Elena Gilbert"", ""order_number"": ""ORD-4455"", ""product_numbers"": ""Galaxy S24 & Wireless Charger"", ""has_music"": ""True"", ""genre_detection"": ""pop"", ""instrument_identification"": [""synthesizer"", ""vocals"", ""drums""], ""tempo_classification"": ""fast"", ""mood_of_music"": ""uplifting"", ""music_volume"": ""soft""}"
call_recording_09.opus,"{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Amanda White"", ""order_number"": ""N/A"", ""product_numbers"": ""MON-2345 & KB-1234 & MOUSE-4567"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Robert Ford"", ""order_number"": ""N/A"", ""product_numbers"": ""X-200 & Y-900"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""bass"", ""drums""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}"
